,scores,predscores,tmhalfsc,opphalfsc,patt,ypa,comppct,ratt,ypr,int_pct,sack_pct,sack_yd_pct,fum_pct
2067,26.999999999999975,24.0,27.0,20.0,29.0,11.2758620689655,0.5517241379310339,13.0,4.0,0.0,0.0,0.0,0.0238095238095238
2068,20.000000000000004,16.0,13.0,24.0,13.0,8.76923076923077,0.6923076923076921,19.0,2.3157894736842097,0.0,0.133333333333333,-0.46666666666666706,0.0588235294117647
2069,27.999999999999982,20.75,6.0,24.0,19.0,7.10526315789474,0.6842105263157889,8.0,7.625,0.0526315789473684,0.136363636363636,-0.9090909090909091,0.0333333333333333
2070,20.000000000000004,21.25,3.0,10.0,18.0,7.77777777777778,0.833333333333333,12.0,4.0,0.0,0.1,-0.65,0.03125
2071,11.0,20.75,3.0,27.0,15.0,2.8,0.4,7.0,2.28571428571429,0.0666666666666667,0.0,0.0,0.0
2072,22.999999999999996,22.0,6.0,9.0,21.0,6.428571428571429,0.666666666666667,14.0,3.14285714285714,0.0,0.0869565217391304,-0.304347826086957,0.0540540540540541
2073,26.999999999999975,26.0,10.0,6.0,10.0,11.8,0.6,11.0,2.7272727272727297,0.0,0.166666666666667,-0.583333333333333,0.0434782608695652
2074,10.000000000000004,21.25,10.0,17.0,8.0,5.625,0.375,9.0,2.1111111111111103,0.0,0.272727272727273,-1.90909090909091,0.0
2075,6.00000000000001,17.0,6.0,17.0,11.0,11.272727272727302,0.7272727272727271,9.0,1.88888888888889,0.0,0.153846153846154,-1.69230769230769,0.0454545454545455
2076,33.99999999999999,27.0,7.0,17.0,18.0,6.0,0.6111111111111109,12.0,3.6666666666666696,0.0555555555555556,0.0526315789473684,-0.315789473684211,0.0
2077,13.999999999999986,21.25,7.0,12.0,20.0,5.75,0.55,16.0,3.625,0.05,0.0,0.0,0.0
2078,35.00000000000006,28.0,14.0,21.0,20.0,9.1,0.55,11.0,2.7272727272727297,0.1,0.0,0.0,0.0
2079,17.0,25.0,7.0,7.0,10.0,4.1,0.5,14.0,4.5,0.1,0.0,0.0,0.0
2080,13.000000000000005,16.25,3.0,13.0,9.0,4.11111111111111,0.33333333333333304,12.0,4.0,0.0,0.18181818181818202,-1.09090909090909,0.0
2081,24.00000000000004,21.75,14.0,14.0,12.0,8.41666666666667,0.833333333333333,11.0,6.63636363636364,0.0,0.0769230769230769,-0.6923076923076921,0.0
2082,6.999999999999996,21.25,7.0,27.0,16.0,4.625,0.8125,8.0,2.5,0.0,0.0588235294117647,-0.411764705882353,0.04
2083,20.000000000000004,23.25,7.0,17.0,19.0,5.73684210526316,0.631578947368421,13.0,4.692307692307691,0.0526315789473684,0.05,-0.3,0.0303030303030303
2084,27.999999999999982,18.25,0.0,14.0,20.0,4.8,0.5,8.0,2.625,0.0,0.0,0.0,0.0
2085,27.999999999999982,18.0,21.0,20.0,12.0,11.25,0.666666666666667,11.0,5.0,0.0,0.0769230769230769,-0.538461538461538,0.0
2086,21.0,20.75,21.0,10.0,13.0,6.53846153846154,0.6923076923076921,13.0,4.92307692307692,0.0,0.0,0.0,0.0
2087,25.99999999999995,19.0,6.0,0.0,23.0,5.43478260869565,0.608695652173913,17.0,3.4705882352941204,0.0,0.0,0.0,0.0
2088,13.000000000000005,21.75,6.0,21.0,14.0,3.78571428571429,0.7142857142857142,14.0,4.85714285714286,0.0,0.125,-1.1875,0.0
2089,17.0,19.5,14.0,16.0,11.0,13.090909090909099,0.7272727272727271,14.0,4.142857142857141,0.0,0.214285714285714,-1.57142857142857,0.0357142857142857
2090,6.00000000000001,20.0,3.0,24.0,15.0,3.6,0.4,11.0,4.18181818181818,0.133333333333333,0.21052631578947398,-1.0,0.0
2091,27.999999999999982,24.0,14.0,24.0,13.0,5.46153846153846,0.615384615384615,13.0,7.6153846153846105,0.0,0.0714285714285714,-0.6428571428571429,0.0
2092,26.999999999999975,23.75,17.0,10.0,12.0,7.5,0.583333333333333,20.0,4.2,0.0,0.0769230769230769,0.0,0.0
2093,25.99999999999995,21.75,20.0,17.0,19.0,13.052631578947402,0.6842105263157889,12.0,7.0,0.0,0.05,-0.45,0.09375
2094,20.000000000000004,15.25,6.0,16.0,11.0,5.36363636363636,0.545454545454545,12.0,7.41666666666667,0.0,0.214285714285714,-1.35714285714286,0.0
2095,37.00000000000001,22.75,3.0,26.0,16.0,5.1875,0.5625,8.0,3.875,0.0625,0.111111111111111,-0.8888888888888891,0.0
2096,3.0000000000000098,20.5,3.0,20.0,19.0,4.6315789473684195,0.47368421052631604,14.0,4.71428571428571,0.10526315789473699,0.05,-0.6,0.0294117647058824
2097,20.000000000000004,22.0,10.0,7.0,18.0,7.22222222222222,0.7777777777777779,12.0,4.25,0.0,0.0,0.0,0.0
2098,55.99999999999994,25.25,35.0,17.0,14.0,14.785714285714299,0.857142857142857,10.0,2.7,0.0,0.0666666666666667,-0.6,0.0
2099,20.000000000000004,22.25,7.0,27.0,17.0,3.82352941176471,0.411764705882353,13.0,2.6153846153846203,0.0,0.0555555555555556,-0.444444444444444,0.032258064516129
2100,17.99999999999995,21.75,9.0,7.0,20.0,6.75,0.6,13.0,3.30769230769231,0.0,0.0,0.0,0.0
2101,13.000000000000005,20.75,6.0,7.0,24.0,5.16666666666667,0.708333333333333,10.0,7.0,0.0416666666666667,0.172413793103448,-1.27586206896552,0.0
2102,13.999999999999986,20.0,7.0,28.0,14.0,3.71428571428571,0.3571428571428571,13.0,5.07692307692308,0.14285714285714302,0.125,-1.125,0.0344827586206897
2103,37.00000000000001,31.5,16.0,6.0,32.0,9.25,0.71875,8.0,7.375,0.0,0.0303030303030303,-0.24242424242424201,0.0
2104,20.000000000000004,24.0,6.0,13.0,16.0,7.375,0.6875,18.0,3.77777777777778,0.0,0.111111111111111,-0.5,0.0
2105,13.000000000000005,20.25,10.0,10.0,22.0,3.2272727272727297,0.36363636363636404,14.0,5.71428571428571,0.0,0.0434782608695652,-0.0869565217391304,0.0
2106,13.000000000000005,30.0,10.0,10.0,13.0,7.46153846153846,0.538461538461538,10.0,3.1,0.0769230769230769,0.0714285714285714,0.0,0.0416666666666667
2107,17.0,17.0,3.0,3.0,16.0,7.1875,0.5,17.0,4.58823529411765,0.1875,0.0588235294117647,-0.588235294117647,0.0
2108,13.000000000000005,23.25,10.0,14.0,16.0,7.0,0.625,14.0,1.64285714285714,0.0,0.157894736842105,-1.31578947368421,0.0303030303030303
2109,24.00000000000004,27.25,14.0,6.0,9.0,6.888888888888889,0.555555555555556,7.0,7.857142857142861,0.0,0.1,-0.4,0.0
2110,24.00000000000004,15.75,10.0,3.0,20.0,6.7,0.8,13.0,3.30769230769231,0.0,0.0476190476190476,-0.33333333333333304,0.0
2111,21.0,26.0,14.0,10.0,16.0,6.25,0.5,14.0,5.14285714285714,0.0625,0.0588235294117647,0.0,0.032258064516129
2112,33.00000000000001,27.25,13.0,7.0,22.0,6.59090909090909,0.6363636363636359,16.0,3.875,0.0909090909090909,0.12,-0.44,0.024390243902439
2113,17.0,17.75,6.0,17.0,18.0,3.61111111111111,0.6111111111111109,9.0,3.6666666666666696,0.0,0.0526315789473684,-0.421052631578947,0.0
2114,24.00000000000004,29.75,17.0,10.0,16.0,12.3125,0.75,11.0,4.63636363636364,0.0,0.111111111111111,-0.5,0.0
2115,20.000000000000004,17.0,14.0,7.0,15.0,8.4,0.6,22.0,4.18181818181818,0.0,0.0,0.0,0.0
